City,Cloudiness, Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
nanortalik,100,GL,1570148354,72,60.14,-45.24,41.64,5.06
zhigansk,20,RU,1570148377,79,66.77,123.37,22.54,7.47
carnarvon,0,ZA,1570148377,37,-30.97,22.13,49.9,9.62
mataura,100,NZ,1570148378,60,-46.19,168.86,60.01,13.0
westport,90,US,1570148378,87,41.14,-73.36,59.0,11.41
waddan,51,LY,1570148379,79,29.16,16.14,71.43,11.16
ushuaia,40,AR,1570148379,56,-54.81,-68.31,44.6,13.87
mao,90,DO,1570148094,100,19.55,-71.08,82.4,3.36
victoria,75,BN,1570148105,94,5.28,115.24,75.2,2.24
busselton,94,AU,1570148380,60,-33.64,115.35,59.0,23.76
zambezi,45,ZM,1570148381,69,-13.55,23.12,66.05,6.78
barrow,100,AR,1570148381,60,-38.31,-60.23,44.56,11.34
micheweni,0,TZ,1570148382,81,-4.97,39.83,78.68,16.8
barahona,75,DO,1570148382,88,18.21,-71.1,82.4,13.87
dikson,100,RU,1570148329,87,73.51,80.55,28.23,22.28
ancud,0,CL,1570148365,75,-41.87,-73.83,46.4,8.05
praia da vitoria,20,PT,1570148383,77,38.73,-27.07,69.8,18.61
butaritari,100,KI,1570148384,71,3.07,172.79,82.48,6.91
laiyang,78,CN,1570148385,75,36.98,120.7,61.08,12.19
lebu,75,ET,1570148385,87,8.96,38.73,57.2,9.17
bluff,0,AU,1570148386,38,-23.58,149.07,72.38,7.61
punta arenas,75,CL,1570148386,70,-53.16,-70.91,42.8,11.41
romans-sur-isere,0,FR,1570148387,100,45.05,5.06,48.0,3.36
albany,90,US,1570148382,87,42.65,-73.75,50.0,4.7
clyde river,75,CA,1570148387,94,70.47,-68.59,33.8,13.87
bethel,90,US,1570148243,81,60.79,-161.76,48.2,16.11
new norfolk,75,AU,1570148388,44,-42.78,147.06,57.99,8.05
ribeira grande,20,PT,1570148388,83,38.52,-28.7,69.8,16.11
saint-augustin,90,CA,1570148389,65,45.63,-73.98,48.2,8.05
acajutla,40,SV,1570148280,100,13.59,-89.83,73.4,4.7
mahebourg,75,MU,1570148375,94,-20.41,57.7,73.4,14.99
hobart,75,AU,1570148391,44,-42.88,147.33,57.99,8.05
entre rios,6,BR,1570148391,98,-11.94,-38.08,68.48,3.74
kangaatsiaq,31,GL,1570148181,59,68.31,-53.46,43.38,16.87
jiexiu,98,CN,1570148393,73,37.02,111.92,63.49,6.17
barcelos,100,BR,1570148393,69,-0.97,-62.93,80.3,1.68
georgetown,0,GY,1570148157,78,6.8,-58.16,82.4,6.93
port-gentil,40,GA,1570148394,88,-0.72,8.78,78.8,10.29
rikitea,89,PF,1570148395,79,-23.12,-134.97,69.43,22.5
umea,90,SE,1570148395,69,63.83,20.26,35.6,11.41
miguel alves,27,BR,1570148396,73,-4.17,-42.89,77.57,6.51
angoche,56,MZ,1570148396,89,-16.23,39.91,72.78,3.15
maputo,0,MZ,1570148397,88,-25.97,32.57,64.4,2.24
karatau,24,KZ,1570148397,84,43.18,70.46,48.0,3.71
tuktoyaktuk,90,CA,1570148338,100,69.44,-133.03,35.6,6.93
khatanga,0,RU,1570148398,85,71.98,102.47,19.37,9.78
chokurdakh,100,RU,1570148398,93,70.62,147.9,25.65,3.49
kaitangata,94,NZ,1570148399,48,-46.28,169.85,61.0,10.0
hermanus,51,ZA,1570148400,79,-34.42,19.24,61.0,5.99
tecpan,75,GT,1570148400,88,14.76,-90.99,68.0,6.93
ponta do sol,0,BR,1570148401,41,-20.63,-46.0,71.36,3.67
port alfred,37,ZA,1570148401,82,-33.59,26.89,57.99,1.99
avarua,72,CK,1570148172,65,-21.21,-159.78,78.8,8.05
berlevag,95,NO,1570148402,77,70.86,29.09,39.73,15.59
west helena,1,US,1570148403,58,34.55,-90.64,86.0,4.7
praya,20,ID,1570148403,78,-8.71,116.27,80.6,11.41
kaduqli,100,SD,1570148404,71,11.01,29.72,75.68,4.81
christchurch,0,NZ,1570148348,58,-43.53,172.64,59.0,12.75
srednekolymsk,99,RU,1570148398,86,67.46,153.71,26.12,18.34
lavrentiya,100,RU,1570148164,98,65.58,-170.99,35.39,14.5
korgen,0,NO,1570148405,63,66.08,13.83,32.0,4.7
souillac,75,FR,1570148406,93,45.6,-0.6,59.0,8.05
sao filipe,95,CV,1570148406,82,14.9,-24.5,78.97,3.98
gabu,100,CN,1570148407,94,34.78,103.0,37.77,3.8
atuona,0,PF,1570148407,76,-9.8,-139.03,80.19,16.37
tiksi,100,RU,1570148407,90,71.64,128.87,22.32,26.24
faanui,49,PF,1570148408,79,-16.48,-151.75,78.34,16.31
alyangula,0,AU,1570148409,40,-13.85,136.42,87.8,17.22
tutoia,4,BR,1570148409,84,-2.76,-42.27,75.96,8.7
hudson bay,98,CA,1570148410,75,52.86,-102.4,42.11,3.83
orlovskiy,98,RU,1570148410,89,46.87,42.05,61.56,13.11
qaanaaq,91,GL,1570148411,58,77.48,-69.36,29.87,6.08
mangai,100,CD,1570148411,98,-4.07,19.59,70.83,2.42
ranong,20,TH,1570148412,100,9.96,98.62,75.2,1.79
maceio,75,BR,1570148412,88,-9.67,-35.74,75.2,9.17
yar-sale,75,RU,1570148381,81,66.83,70.83,33.43,13.04
thompson,5,CA,1570148413,43,55.74,-97.86,51.8,6.93
pokoynoye,53,RU,1570148413,81,44.81,44.25,63.04,8.63
the valley,20,AI,1570148414,83,18.22,-63.06,82.4,5.82
hilo,1,US,1570148171,58,19.71,-155.08,87.8,6.93
warren,75,US,1570148340,77,42.48,-83.03,63.0,11.41
anadyr,40,RU,1570148415,79,64.73,177.51,24.8,26.84
bredasdorp,18,ZA,1570148416,82,-34.53,20.04,61.0,3.36
jamestown,73,AU,1570148124,33,-33.21,138.6,76.99,10.47
odoyev,76,RU,1570148417,72,53.94,36.69,57.96,11.23
kapaa,75,US,1570148417,70,22.08,-159.32,87.8,16.11
leningradskiy,100,RU,1570148418,90,69.38,178.42,31.69,3.13
braganca,7,BR,1570148418,85,-1.05,-46.77,75.51,3.36
komsomolskiy,100,RU,1570148344,97,67.55,63.78,32.15,24.29
rohnert park,1,US,1570148283,40,38.34,-122.7,75.2,11.41
vila franca do campo,20,PT,1570148420,68,37.72,-25.43,72.0,6.93
puerto ayora,20,EC,1570148420,73,-0.74,-90.35,71.6,17.22
nome,40,US,1570148421,78,30.04,-94.42,86.0,3.36
zabaykalsk,3,CN,1570148421,47,49.64,117.33,34.24,7.36
lasa,20,CY,1570148422,72,34.92,32.53,71.6,9.17
maragogi,34,BR,1570148187,93,-9.01,-35.22,72.24,7.05
derzhavinsk,6,KZ,1570148423,39,51.1,66.31,44.14,4.52
codrington,0,AU,1570148423,36,-28.95,153.24,78.8,6.93
veraval,90,FR,1570148424,93,49.65,0.71,55.4,13.87
kirakira,23,SB,1570148424,73,-10.46,161.92,82.03,3.8
prince rupert,90,CA,1570148424,87,54.32,-130.32,51.8,5.82
cape town,75,ZA,1570148273,93,-33.93,18.42,61.0,6.93
somerset east,8,ZA,1570148430,77,-32.72,25.59,52.66,2.53
nikolskoye,90,RU,1570148431,86,59.7,30.79,39.2,6.71
castro,0,CL,1570148432,75,-42.48,-73.76,46.4,8.05
sibolga,47,ID,1570148432,80,1.74,98.78,78.99,9.86
coihaique,0,CL,1570148433,56,-45.58,-72.07,44.6,4.7
pevek,100,RU,1570148434,84,69.7,170.27,31.36,12.68
vaini,75,IN,1570148434,100,15.34,74.49,68.0,2.08
benguela,53,AO,1570148435,86,-12.58,13.4,70.44,10.09
airai,0,TL,1570148435,34,-8.93,125.41,84.26,1.79
tasiilaq,100,GL,1570148436,80,65.61,-37.64,39.2,27.51
tarko-sale,100,RU,1570148437,94,64.92,77.78,42.01,7.0
douglas,75,US,1570148138,76,58.28,-134.39,53.6,5.82
rawson,71,AR,1570148337,28,-43.3,-65.11,60.23,21.05
ucluelet,75,CA,1570148399,87,48.94,-125.55,54.0,16.11
saint george,20,GR,1570148439,82,39.45,22.34,64.4,6.93
pathein,60,MM,1570148354,79,16.78,94.73,79.53,2.59
mount gambier,90,AU,1570148440,87,-37.83,140.78,53.6,9.17
archidona,75,EC,1570148440,94,-0.91,-77.81,78.8,2.48
poitiers,43,FR,1570148441,93,46.58,0.34,59.0,12.75
bend,75,US,1570148312,37,44.06,-121.32,59.0,9.17
angola,1,US,1570148329,72,41.63,-85.0,63.0,10.29
hithadhoo,99,MV,1570148442,78,-0.6,73.08,82.21,15.05
fort nelson,75,CA,1570148443,63,58.81,-122.69,60.8,6.93
porto novo,40,BR,1570148444,77,-23.68,-45.44,62.6,5.82
pangnirtung,30,CA,1570148444,72,66.15,-65.72,25.24,5.3
ketchikan,90,US,1570148445,81,55.34,-131.65,53.6,11.41
eureka,20,US,1570148285,59,40.8,-124.16,62.01,14.99
changping,90,CN,1570148446,87,40.22,116.23,62.01,13.42
bubaque,100,GW,1570148446,74,11.28,-15.83,81.87,3.89
nichinan,20,JP,1570148446,65,31.65,131.31,78.8,12.75
yellowknife,20,CA,1570148447,57,62.45,-114.38,51.8,11.41
sangar,40,RU,1570148447,57,63.92,127.47,23.55,8.46
kodiak,1,US,1570148448,71,39.95,-94.76,55.4,8.05
conceicao do araguaia,42,BR,1570148448,74,-8.26,-49.26,77.39,0.43
popondetta,36,PG,1570148449,72,-8.77,148.24,76.07,3.44
arraial do cabo,0,BR,1570148418,84,-22.97,-42.02,71.43,19.44
kahului,40,US,1570148450,52,20.89,-156.47,89.6,23.04
husavik,63,CA,1570148450,69,50.56,-96.99,48.0,2.57
mackay,90,CA,1570148451,76,53.65,-115.58,53.6,5.32
cherskiy,99,RU,1570148359,88,68.75,161.3,24.54,7.07
sitka,89,US,1570148451,75,37.17,-99.65,57.0,10.0
ipaussu,87,BR,1570148452,45,-23.06,-49.63,75.68,8.41
narsaq,100,GL,1570148452,29,60.91,-46.05,50.0,20.8
bilibino,90,RU,1570148453,92,68.06,166.44,13.06,3.87
port elizabeth,90,US,1570148453,93,39.31,-74.98,71.01,6.93
roald,0,NO,1570148454,60,62.58,6.12,42.8,10.29
sao miguel do araguaia,63,BR,1570148454,46,-13.28,-50.16,82.52,4.34
mar del plata,0,AR,1570148171,23,-46.43,-67.52,55.0,9.91
cidreira,100,BR,1570148455,90,-30.17,-50.22,63.96,15.52
lompoc,1,US,1570148274,59,34.64,-120.46,75.99,13.87
antofagasta,90,CL,1570148456,76,-23.65,-70.4,57.2,18.34
amapa,75,HN,1570148456,88,15.09,-87.97,81.0,6.93
lazarev,0,RU,1570148456,53,52.23,141.51,40.85,10.38
richards bay,0,ZA,1570148457,78,-28.77,32.06,70.19,12.06
aklavik,90,CA,1570148425,100,68.22,-135.01,39.2,4.7
sola,52,TZ,1570148458,59,-3.17,33.8,69.85,9.8
presidencia roque saenz pena,100,AR,1570148458,95,-26.79,-60.44,61.98,4.97
saint-philippe,90,CA,1570148459,70,45.36,-73.48,48.2,9.17
lazaro cardenas,40,MX,1570148459,69,28.39,-105.62,77.0,5.82
meerbusch,20,DE,1570148459,87,51.27,6.68,52.0,6.93
geraldton,90,CA,1570148460,80,49.72,-86.95,35.6,5.82
luderitz,0,NA,1570148460,79,-26.65,15.16,55.82,21.43
stromness,90,CA,1570148461,100,42.87,-79.55,57.99,6.93
camacha,40,PT,1570148461,73,33.08,-16.33,71.6,5.82
east london,46,ZA,1570148462,92,-33.02,27.91,56.15,2.8
saskylakh,0,RU,1570148368,84,71.97,114.09,12.44,2.44
bay roberts,75,CA,1570148463,81,47.58,-53.28,42.01,19.46
havoysund,75,NO,1570148463,100,71.0,24.66,30.2,6.93
staryy nadym,100,RU,1570148464,80,65.61,72.68,37.79,17.4
barao de melgaco,75,BR,1570148464,58,-16.19,-55.97,82.4,10.29
outjo,5,NA,1570148465,26,-20.11,16.16,63.67,9.37
valparaiso,90,US,1570148465,82,41.47,-87.06,62.01,3.36
torbay,75,CA,1570148403,67,47.66,-52.73,42.01,19.46
kyaukse,40,MM,1570148466,88,21.6,96.13,77.0,3.36
port hedland,9,AU,1570148467,23,-20.31,118.58,87.8,10.29
khani,75,GE,1570148467,72,41.96,42.96,68.0,3.36
olivenza,2,ES,1570148467,72,38.68,-7.1,64.99,4.0
shakawe,27,BW,1570148468,25,-18.36,21.84,69.25,7.85
piacabucu,22,BR,1570148469,85,-10.41,-36.43,75.75,14.36
fukue,20,JP,1570148469,69,35.03,136.69,78.8,16.11
constitucion,75,MX,1570148470,52,23.99,-104.67,72.0,6.93
ben tre,99,VN,1570148471,85,10.24,106.37,78.5,4.21
boa vista,20,BR,1570148471,66,2.82,-60.67,84.2,5.82
simpsonville,1,US,1570148301,61,34.74,-82.25,89.6,4.72
los llanos de aridane,20,ES,1570148472,83,28.66,-17.92,78.01,11.41
dharchula,0,IN,1570148228,71,29.85,80.53,44.91,4.61
muros,90,ES,1570148473,100,42.77,-9.06,64.0,2.24
puerto escondido,90,MX,1570148473,78,15.86,-97.07,78.8,5.82
bud,0,NO,1570148473,66,62.91,6.91,42.8,9.17
fairbanks,90,US,1570148388,100,64.84,-147.72,41.0,2.75
te anau,100,NZ,1570148474,85,-45.41,167.72,46.46,10.11
kurakh,0,RU,1570148475,73,41.58,47.78,43.94,7.61
cartagena,16,ES,1570148475,72,37.63,-1.0,66.99,5.82
pisco,75,PE,1570148475,82,-13.71,-76.2,63.0,18.34
kuusamo,0,FI,1570148476,86,65.96,29.19,28.4,4.7
alenquer,0,BR,1570148476,83,-1.95,-54.74,82.4,4.7
esperance,90,AU,1570148477,87,-33.86,121.89,55.4,18.34
hobyo,57,SO,1570148477,92,5.35,48.53,76.31,6.44
neuquen,75,AR,1570148478,87,-38.95,-68.06,46.4,14.88
anjiang,0,CN,1570148478,68,27.32,110.14,74.69,2.24
bireun,100,ID,1570148479,90,5.2,96.7,66.79,1.36
lubango,10,AO,1570148479,73,-14.92,13.49,60.68,1.3
port-de-bouc,0,FR,1570148479,58,43.4,4.98,55.4,6.93
grand-santi,61,GF,1570148480,59,4.27,-54.38,78.83,3.18
osoyoos,20,CA,1570148481,38,49.03,-119.47,60.8,12.75
xiaoyi,100,CN,1570148481,94,37.15,111.77,54.27,4.54
edd,0,ER,1570148482,60,13.93,41.69,87.81,4.85
yumen,26,CN,1570148482,69,40.29,97.04,44.65,24.58
goderich,100,CA,1570148483,88,43.74,-81.71,59.0,22.7
severo-kurilsk,100,RU,1570148483,80,50.68,156.12,41.76,15.84
upernavik,100,GL,1570148484,74,72.79,-56.15,38.07,8.95
pirgos,0,GR,1570148484,47,35.12,25.72,77.0,21.92
romny,19,UA,1570148485,95,50.74,33.49,55.03,7.45
palmer,0,AU,1570148485,37,-34.85,139.16,72.0,14.99
maloy,48,ID,1570148485,88,1.0,118.1,76.81,2.01
tullahoma,1,US,1570148230,42,35.36,-86.21,89.6,2.24
puri,0,ID,1570148486,61,-7.54,112.45,80.54,13.38
caravelas,0,BR,1570148487,79,-17.73,-39.27,73.88,10.18
mahajanga,20,MG,1570148487,73,-15.72,46.32,77.0,3.36
talnakh,75,RU,1570148488,86,69.49,88.39,39.2,22.37
iqaluit,40,CA,1570148488,86,63.75,-68.52,33.8,13.87
faya,0,SA,1570148332,36,18.39,42.45,66.2,2.3
sitangkai,80,PH,1570148489,74,4.66,119.39,82.35,6.38
grammenitsa,90,GR,1570148490,93,39.18,20.98,62.6,16.11
baghdad,0,IQ,1570148490,43,33.3,44.38,71.6,5.82
shimoda,40,JP,1570148407,94,34.7,138.93,80.01,13.87
provideniya,90,RU,1570148491,87,64.42,-173.23,42.8,20.13
malinovskiy,74,RU,1570148491,86,54.15,34.53,54.29,8.19
nelson bay,0,AU,1570148492,25,-32.72,152.14,84.2,18.34
merauke,98,ID,1570148492,80,-8.49,140.4,78.79,20.69
almirante,97,PA,1570148493,76,9.29,-82.39,81.56,4.88
harper,1,US,1570148357,39,30.3,-99.24,86.0,12.21
vylkove,79,UA,1570148493,94,45.4,29.58,62.81,12.37
ulaanbaatar,0,MN,1570148494,85,47.92,106.92,17.6,3.13
alta floresta,20,BR,1570148495,94,-9.87,-56.08,77.0,1.43
mahibadhoo,100,MV,1570148495,72,3.78,72.97,81.78,6.31
ouesso,100,CG,1570148495,97,1.61,16.05,70.78,2.19
nizhnekamsk,0,RU,1570148243,93,55.64,51.82,51.8,17.9
inhambane,0,MZ,1570148496,96,-23.87,35.38,63.71,4.23
nioro,88,GM,1570148497,78,13.79,-15.05,79.19,6.62
pemba,20,MZ,1570148497,94,-12.97,40.52,75.2,9.17
paamiut,92,GL,1570148498,84,61.99,-49.67,42.12,5.7
palana,37,RU,1570148498,53,59.08,159.95,38.49,9.28
marsh harbour,5,BS,1570148499,74,26.54,-77.06,80.77,9.06
rio gallegos,0,AR,1570148499,52,-51.62,-69.22,46.4,14.99
opportunity,40,US,1570148500,30,46.11,-112.83,53.6,8.05
valer,0,ES,1570148500,86,41.76,-6.18,55.62,4.32
gigmoto,98,PH,1570148501,71,13.78,124.39,82.19,2.64
soyo,92,AO,1570148501,88,-6.13,12.37,75.75,13.53
ugoofaaru,70,MV,1570148501,83,5.67,73.0,79.19,12.24
lewistown,1,US,1570148502,76,40.39,-90.15,59.0,4.7
crotone,0,IT,1570148502,80,39.09,17.12,61.53,14.27
laguna,75,BZ,1570148503,74,16.17,-88.94,86.0,4.7
anloga,40,GH,1570148503,94,5.79,0.9,77.0,4.7
naze,94,NG,1570148504,98,5.43,7.07,72.24,3.96
hornepayne,100,CA,1570148504,94,49.22,-84.78,35.2,4.76
severo-yeniseyskiy,93,RU,1570148505,92,60.37,93.04,36.27,11.83
coronado,75,PA,1570148404,88,8.53,-79.9,84.99,3.36
cayenne,0,GF,1570148346,83,4.94,-52.33,78.8,2.24
cockburn town,100,TC,1570148506,72,21.46,-71.14,83.83,5.48
lagunas,100,PE,1570148506,96,-5.23,-75.68,73.79,3.36
roebourne,0,AU,1570148507,18,-20.77,117.15,84.33,15.57
desnogorsk,100,RU,1570148507,94,54.15,33.29,49.83,13.24
celestun,0,MX,1570148508,76,20.87,-90.4,82.88,10.85
jardim,64,BR,1570148212,53,-21.48,-56.15,80.43,3.42
bantogon,93,PH,1570148509,70,6.53,124.03,81.4,3.06
mamakan,100,RU,1570148509,87,57.82,114.02,31.95,8.12
finnsnes,81,NO,1570148509,69,69.23,17.98,35.6,8.05
vardo,90,US,1570148510,82,39.62,-77.74,75.0,8.05
taoudenni,0,ML,1570148510,9,22.68,-3.98,91.25,4.32
