City,Cloudiness, Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
luba,2,PH,1570148511,77,17.32,120.7,77.06,3.09
norman wells,75,CA,1570148511,75,65.28,-126.83,46.4,10.29
ust-uda,39,RU,1570148512,75,54.17,103.03,30.32,2.98
ahipara,20,NZ,1570148512,79,-35.17,173.16,64.99,13.35
san patricio,97,PY,1570148512,83,-26.98,-56.83,71.61,3.44
kruisfontein,0,ZA,1570148513,82,-34.0,24.73,53.37,5.39
guiuan,20,PH,1570148513,76,11.03,125.72,81.2,3.78
vidim,20,CZ,1570148514,93,50.47,14.53,48.2,10.29
casablanca,75,MA,1570148449,82,33.6,-7.62,64.4,5.82
tilichiki,0,RU,1570148515,74,60.47,166.1,26.48,4.41
kavieng,61,PG,1570148515,69,-2.57,150.8,83.96,7.29
sao paulo de olivenca,55,BR,1570148516,69,-3.38,-68.87,80.14,1.77
biertan,100,RO,1570148516,76,46.14,24.52,50.0,6.93
buchanan,75,LR,1570148516,94,5.88,-10.05,77.0,10.0
hami,26,CN,1570148517,25,42.84,93.51,57.32,8.68
saint-andre-avellin,90,CA,1570148517,70,45.72,-75.07,46.4,9.17
hofn,100,IS,1570148386,99,64.25,-15.21,31.74,9.48
vangaindrano,62,MG,1570148518,96,-23.35,47.6,68.69,2.08
lucapa,99,AO,1570148519,87,-8.42,20.74,68.5,2.91
lagoa,0,PT,1570148519,73,37.14,-8.45,69.8,10.29
birao,34,CF,1570148520,90,10.3,22.78,71.32,2.15
saldanha,0,PT,1570148520,85,41.42,-6.55,60.7,2.64
tuatapere,97,NZ,1570148521,60,-46.13,167.69,60.01,11.99
sundby,30,DK,1570148521,100,56.38,10.58,44.01,3.36
bontang,87,ID,1570148522,82,0.12,117.47,79.33,1.32
omboue,51,GA,1570148522,82,-1.57,9.26,77.91,12.28
padang,35,ID,1570148523,84,-0.92,100.36,77.66,10.04
cabo san lucas,20,MX,1570148473,61,22.89,-109.91,84.99,12.75
san cristobal,94,HN,1570148524,88,14.68,-86.92,70.6,2.42
klaksvik,89,FO,1570148525,75,62.23,-6.59,44.6,13.87
hambantota,83,LK,1570148525,79,6.12,81.12,79.78,4.94
sayyan,0,YE,1570148526,74,15.17,44.32,67.94,1.79
kaputa,64,ZM,1570148526,61,-8.47,29.66,72.33,3.06
ivanovka,0,RU,1570148527,68,55.56,88.79,34.17,7.0
ambon,90,FR,1570148527,93,47.55,-2.56,60.8,6.93
latung,7,ID,1570148528,49,-8.45,120.42,83.7,2.53
vestmannaeyjar,100,IS,1570148528,78,63.44,-20.27,47.9,42.9
cabuyaro,90,CO,1570148528,92,4.29,-72.79,70.24,4.18
bodden town,20,KY,1570148529,83,19.28,-81.25,82.4,2.24
sur,0,OM,1570148530,61,22.57,59.53,83.76,11.32
chumikan,0,RU,1570148530,36,54.72,135.31,35.63,5.84
krasnogorsk,0,RU,1570148530,67,55.82,37.34,59.0,8.95
muskegon,75,US,1570148360,58,43.23,-86.25,57.99,12.75
nkhata bay,7,MW,1570148532,94,-11.61,34.3,62.59,5.77
comodoro rivadavia,0,AR,1570148284,66,-45.87,-67.48,48.2,2.24
nema,98,RU,1570148533,92,57.51,50.5,51.5,9.57
mayo,40,CA,1570148534,65,63.59,-135.9,44.6,2.24
bambous virieux,75,MU,1570148534,94,-20.34,57.76,73.4,14.99
hamilton,90,CA,1570148432,100,43.26,-79.87,55.99,6.93
whitianga,12,NZ,1570148535,62,-36.83,175.7,55.28,3.31
malvern,75,GB,1570148536,100,52.12,-2.33,57.2,4.7
henties bay,0,NA,1570148536,87,-22.12,14.28,63.0,5.99
alofi,75,NU,1570148537,69,-19.06,-169.92,80.6,14.99
darnah,0,LY,1570148537,48,32.77,22.64,82.45,23.73
effium,100,NG,1570148537,94,6.63,8.06,74.24,1.81
tamandare,82,BR,1570148538,91,-8.28,-70.75,73.91,1.5
college,90,US,1570148538,100,64.86,-147.8,41.0,2.75
hanstholm,79,DK,1570148539,86,57.12,8.61,45.0,17.72
tapes,100,BR,1570148539,91,-30.67,-51.4,62.43,15.9
sovetskaya,96,RU,1570148350,8,44.78,41.17,59.0,5.99
emerald,0,AU,1570148540,36,-23.53,148.16,75.99,9.17
barentu,59,ER,1570148540,71,15.11,37.59,73.55,3.98
fort-shevchenko,0,KZ,1570148441,56,44.51,50.26,65.35,21.12
santa clara,75,CU,1570148400,88,22.41,-79.97,77.0,6.93
howard springs,40,AU,1570148541,55,-12.5,131.05,89.01,8.05
three hills,75,CA,1570148542,82,51.7,-113.27,46.4,11.41
la ronge,20,CA,1570148542,50,55.1,-105.3,53.6,10.29
ossora,37,RU,1570148543,48,59.24,163.07,36.69,2.8
katsuura,20,JP,1570148544,61,33.93,134.5,81.0,12.75
beringovskiy,40,RU,1570148544,67,63.05,179.32,29.18,15.95
general pico,100,AR,1570148545,43,-35.66,-63.75,52.82,15.64
rio cuarto,90,AR,1570148545,93,-33.13,-64.35,42.8,9.17
santander jimenez,48,MX,1570148546,75,24.22,-98.47,79.6,9.53
xining,100,CN,1570148547,89,36.62,101.77,39.59,0.63
golden,5,US,1570148473,39,39.76,-105.22,68.0,8.05
denpasar,40,ID,1570148547,100,-8.65,115.22,77.0,4.7
talara,78,PE,1570148548,89,-4.58,-81.27,64.97,19.42
sargatskoye,100,RU,1570148548,86,55.6,73.49,44.86,11.36
mount isa,0,AU,1570148549,17,-20.73,139.49,86.0,11.41
santa fe,100,AR,1570148549,83,-31.62,-60.7,60.01,4.0
makakilo city,90,US,1570148266,69,21.35,-158.09,87.8,8.05
wadi maliz,40,TN,1570148551,72,36.47,8.55,69.8,4.7
koplik,90,AL,1570148551,62,42.21,19.44,59.0,14.99
dingle,8,PH,1570148552,72,11.0,122.67,80.63,0.81
namatanai,100,PG,1570148552,72,-3.66,152.44,82.35,4.41
acapulco,40,MX,1570148552,74,16.86,-99.88,84.2,1.83
spas-demensk,88,RU,1570148553,89,54.41,34.03,54.76,6.85
ilulissat,19,GL,1570148428,31,69.22,-51.1,48.2,18.34
altoona,90,US,1570148353,83,40.52,-78.39,73.0,4.7
general roca,75,AR,1570148554,87,-39.03,-67.58,46.4,17.69
wharton,75,GB,1570148555,93,53.2,-2.51,54.0,6.93
akureyri,0,IS,1570148556,72,65.68,-18.09,37.4,9.17
kharan,0,PK,1570148556,43,28.58,65.42,69.14,2.89
gejiu,3,CN,1570148557,92,23.36,103.16,60.43,2.89
imbituba,75,BR,1570148557,88,-28.24,-48.67,68.0,10.29
gorontalo,50,ID,1570148558,62,0.54,123.06,83.69,1.32
coromandel,51,BR,1570148558,27,-18.47,-47.2,79.22,6.2
jiuquan,19,CN,1570148559,77,39.73,98.49,41.44,14.97
paris,90,FR,1570148559,71,48.86,2.35,52.0,6.93
tommot,100,RU,1570148560,91,58.97,126.27,32.15,10.65
cienfuegos,100,CU,1570148560,100,22.15,-80.44,77.0,3.36
choctaw,1,US,1570148561,73,35.5,-97.27,73.99,11.41
mareeba,75,AU,1570148382,94,-16.99,145.42,71.01,20.8
boma,81,GH,1570148562,98,7.08,-2.17,71.91,1.25
ladario,62,PT,1570148562,93,40.7,-7.74,64.0,2.48
isla mujeres,75,MX,1570148563,100,21.23,-86.73,80.6,3.09
alugan,59,PH,1570148563,91,12.22,125.48,79.96,1.81
agirish,71,RU,1570148564,85,61.92,63.02,34.28,9.71
sept-iles,75,CA,1570148274,56,50.2,-66.38,41.0,3.36
abnub,0,EG,1570148565,44,27.27,31.15,77.0,5.82
lat yao,55,TH,1570148565,85,15.75,99.79,76.16,1.52
heihe,0,RU,1570148565,74,50.24,127.51,30.2,5.3
bonthe,99,SL,1570148566,90,7.53,-12.5,77.01,3.91
dattapur,34,IN,1570148566,86,20.77,78.17,71.82,3.24
ostrovnoy,98,RU,1570148350,83,68.05,39.51,33.45,11.23
nantucket,90,US,1570148493,71,41.28,-70.1,55.0,3.36
lakota,95,CI,1570148568,99,5.85,-5.68,71.61,1.99
hasaki,75,JP,1570148568,94,35.73,140.83,72.0,17.22
santa isabel do rio negro,75,BR,1570148569,90,-0.41,-65.02,75.75,1.21
manadhoo,95,MV,1570148569,78,5.77,73.38,80.43,9.57
tarauaca,95,BR,1570148570,93,-8.16,-70.77,73.05,1.59
thinadhoo,100,MV,1570148570,75,0.53,72.93,82.81,10.65
fostoria,40,US,1570148571,66,43.24,-95.16,48.2,6.93
farafangana,61,MG,1570148571,97,-22.82,47.83,68.33,2.75
hovd,0,NO,1570148572,64,63.83,10.7,39.99,16.11
wiang sa,90,TH,1570148573,100,8.64,99.37,75.2,2.24
billings,20,US,1570148573,26,45.79,-108.5,60.01,12.75
hazorasp,0,UZ,1570148574,57,41.32,61.08,48.2,2.24
rohru,84,IN,1570148574,69,31.2,77.75,48.73,4.12
liverpool,75,GB,1570148410,100,53.41,-2.98,54.0,5.82
vila velha,75,BR,1570148575,74,-3.71,-38.6,80.6,13.87
verkhnyaya inta,100,RU,1570148576,96,65.99,60.32,32.91,28.66
tokonou,100,GN,1570148576,97,9.65,-9.78,70.47,2.57
half moon bay,1,US,1570148577,72,37.46,-122.43,69.01,13.87
saint-michel-des-saints,100,CA,1570148577,7,46.68,-73.92,41.0,1.01
bonavista,26,CA,1570148578,77,48.65,-53.11,39.99,8.99
padampur,78,IN,1570148578,52,29.71,73.62,76.65,9.89
sechura,70,PE,1570148579,85,-5.56,-80.82,64.52,15.84
sao joao da barra,5,BR,1570148579,89,-21.64,-41.05,69.5,4.72
arica,90,CL,1570148580,77,-18.48,-70.32,62.6,5.82
morant bay,20,JM,1570148338,79,17.88,-76.41,84.2,13.87
barraute,90,CA,1570148581,93,48.43,-77.63,39.2,8.05
matao,0,BR,1570148581,25,-21.6,-48.37,77.8,13.29
lorengau,96,PG,1570148582,76,-2.02,147.27,82.88,3.98
chuy,60,UY,1570148582,81,-33.69,-53.46,57.79,9.6
panzhihua,40,CN,1570148583,93,26.59,101.72,61.37,1.83
tiznit,0,MA,1570148583,77,29.7,-9.73,69.41,11.07
tautira,20,PF,1570148584,58,-17.73,-149.15,86.0,4.7
tazovskiy,100,RU,1570148379,97,67.47,78.7,41.5,9.84
northam,75,AU,1570148585,77,-31.65,116.67,62.6,19.46
fortuna,20,US,1570148585,59,40.6,-124.16,62.01,14.99
susehri,0,TR,1570148585,60,40.16,38.09,50.26,1.63
aksu,0,KZ,1570148586,40,52.04,76.93,32.0,4.47
mancheral,100,IN,1570148586,88,18.87,79.43,73.18,2.37
narimanov,0,RU,1570148587,76,46.69,47.85,55.4,8.95
grindavik,90,IS,1570148587,81,63.84,-22.43,48.2,29.97
giyani,0,ZA,1570148588,73,-23.32,30.73,65.47,1.79
madanapalle,79,IN,1570148588,85,13.56,78.5,69.77,2.98
staroye drozhzhanoye,89,RU,1570148589,82,54.73,47.56,52.37,9.93
mandalgovi,0,MN,1570148589,67,45.76,106.27,28.28,1.36
batagay,94,RU,1570148589,53,67.65,134.64,24.59,4.65
rosetta,0,EG,1570148590,83,31.4,30.42,73.4,4.7
lebedinyy,100,RU,1570148590,92,58.52,125.52,27.26,16.91
sovetskiy,99,RU,1570148591,89,56.76,48.47,50.96,11.12
southbridge,90,US,1570148441,100,42.08,-72.03,50.0,6.93
shenkursk,100,RU,1570148592,84,62.11,42.91,35.37,10.13
nemuro,75,JP,1570148592,93,43.32,145.57,60.8,3.36
itarema,0,BR,1570148593,81,-2.92,-39.92,77.3,10.2
berdigestyakh,94,RU,1570148593,75,62.1,126.7,27.33,6.29
washougal,90,US,1570148594,81,45.58,-122.35,55.4,4.7
kloulklubed,75,PW,1570148594,70,7.04,134.26,86.0,12.75
iles,75,CO,1570148595,81,0.95,-77.52,62.6,4.7
inirida,87,CO,1570148453,98,3.87,-67.92,74.56,4.59
kandrian,28,PG,1570148596,84,-6.21,149.55,81.31,5.03
krasnokamensk,0,RU,1570148596,39,50.1,118.04,35.66,7.61
bombay,90,US,1570148596,87,44.94,-74.57,48.0,6.93
potosi,20,BO,1570148597,22,-19.59,-65.75,51.25,11.65
kondinskoye,46,RU,1570148523,91,59.65,67.41,40.27,10.51
itaporanga,65,BR,1570148598,46,-7.3,-38.15,79.46,8.72
viedma,100,AR,1570148598,67,-40.81,-62.99,51.01,8.01
karasburg,0,NA,1570148599,45,-28.01,18.75,51.85,5.82
whitehorse,20,CA,1570148458,45,60.72,-135.06,48.2,6.93
lhokseumawe,74,ID,1570148600,88,5.18,97.15,70.08,2.73
shubarkuduk,0,KZ,1570148600,29,49.15,56.49,49.16,6.96
rapid valley,1,US,1570148601,54,44.06,-103.15,55.99,14.99
egvekinot,97,RU,1570148601,94,66.32,-179.17,26.03,8.7
salalah,40,OM,1570148601,83,17.01,54.1,80.6,5.82
west odessa,20,US,1570148602,37,31.84,-102.48,87.8,12.75
barinitas,100,VE,1570148602,95,8.76,-70.41,52.02,1.01
saint-joseph,0,FR,1570148603,81,43.56,6.97,61.0,2.24
hayden,90,US,1570148603,81,47.77,-116.79,51.01,6.93
huallanca,92,PE,1570148604,98,-9.9,-76.94,33.85,4.63
kedrovyy,0,RU,1570148604,92,56.17,91.82,26.6,2.24
leca da palmeira,90,PT,1570148605,93,41.19,-8.7,64.4,5.82
necochea,100,AR,1570148605,69,-38.55,-58.74,46.0,5.99
biak,84,ID,1570148606,90,-0.91,122.88,66.51,5.64
belmira,75,CO,1570148606,77,6.61,-75.67,69.8,2.24
cervo,24,BR,1570148607,61,-22.19,-46.24,64.14,4.54
erenhot,0,CN,1570148607,47,43.65,111.97,37.12,15.28
karachi,75,PK,1570148583,65,24.87,67.03,78.8,4.7
beyneu,0,KZ,1570148608,52,45.32,55.19,54.08,8.75
umm lajj,17,SA,1570148609,66,25.02,37.27,86.15,13.47
uribia,14,CO,1570148609,72,11.71,-72.27,81.4,8.28
lahaina,40,US,1570148610,58,20.87,-156.68,89.6,19.46
cutro,40,IT,1570148610,88,39.04,16.98,64.4,4.7
misratah,8,LY,1570148611,71,32.38,15.09,76.23,24.87
jumla,7,NP,1570148611,87,29.28,82.18,43.31,4.7
ikom,100,NG,1570148612,96,5.96,8.72,72.56,1.01
san jose,75,HN,1570148508,78,14.25,-87.96,77.0,8.05
moree,0,AU,1570148613,19,-29.46,149.84,80.6,10.29
cotonou,93,BJ,1570148613,86,6.37,2.43,75.37,2.04
port lavaca,1,US,1570148614,70,28.61,-96.63,87.01,11.41
guangyuan,100,CN,1570148614,88,32.43,105.86,59.68,3.85
sinnamary,62,GF,1570148614,81,5.38,-52.96,82.05,19.22
sobolevo,100,RU,1570148615,95,54.43,31.9,48.51,9.82
portland,90,US,1570148566,70,43.66,-70.25,50.0,4.7
nelspruit,0,ZA,1570148616,63,-25.48,30.98,62.6,1.12
kenai,40,US,1570148436,54,60.55,-151.26,53.6,3.02
touros,40,BR,1570148617,78,-5.2,-35.46,78.8,11.41
ust-tsilma,56,RU,1570148617,89,65.44,52.15,32.15,9.46
marzuq,0,YE,1570148618,57,14.4,46.47,72.04,2.84
coahuayana,26,MX,1570148618,86,18.62,-100.35,77.3,2.13
mogadishu,8,SO,1570148619,87,2.04,45.34,77.26,8.81
antalaha,12,MG,1570148619,97,-14.9,50.28,64.71,3.24
jalpa,75,MX,1570148620,31,21.63,-102.98,77.0,6.93
bushehr,1,IR,1570148620,79,28.97,50.84,86.0,10.11
sheregesh,0,RU,1570148621,78,52.93,87.98,30.95,2.66
launceston,40,AU,1570148438,51,-41.43,147.14,64.0,14.99
salinas,1,US,1570148327,59,36.67,-121.66,72.0,12.75
nautla,33,MX,1570148622,69,20.22,-96.78,82.59,4.72
sarkad,100,HU,1570148622,93,46.74,21.38,50.0,2.24
peniche,90,PT,1570148623,100,39.36,-9.38,66.0,2.24
caconda,17,AO,1570148623,75,-13.73,15.06,60.31,2.21
satwas,2,IN,1570148623,84,22.52,76.76,71.56,3.36
teya,75,MX,1570148624,74,21.05,-89.07,84.99,4.7
rocha,45,UY,1570148624,85,-34.48,-54.34,52.3,8.19
san quintin,2,PH,1570148625,77,17.54,120.52,77.06,3.09
yulara,0,AU,1570148625,10,-25.24,130.99,87.8,12.75
kholmogory,40,RU,1570148626,92,64.23,41.65,30.2,4.47
meaford,90,CA,1570148626,100,44.61,-80.59,50.0,2.24
hosangadi,100,IN,1570148627,75,13.7,74.96,81.58,2.53
stanghelle,40,NO,1570148627,75,60.55,5.74,46.0,6.93
brownsville,1,US,1570148357,74,25.91,-97.49,84.99,6.93
teeli,0,RU,1570148628,53,51.01,90.2,25.02,0.85
deniliquin,40,AU,1570148629,40,-35.53,144.96,67.36,9.78
san juan del sur,75,NI,1570148629,94,11.25,-85.87,78.8,7.9
lakes entrance,50,AU,1570148629,64,-37.88,147.99,63.0,13.96
ukiah,1,US,1570148610,32,39.15,-123.21,66.2,14.99
namie,75,JP,1570148630,83,37.52,140.86,72.0,18.34
toppenish,1,US,1570148631,51,46.38,-120.31,64.99,3.36
santa rosa,75,AR,1570148631,40,-36.62,-64.29,53.6,12.75
ust-koksa,0,RU,1570148632,46,50.27,85.62,26.01,3.58
oksfjord,81,NO,1570148633,74,70.24,22.35,36.0,9.17
tete,75,MZ,1570148633,69,-16.16,33.59,77.0,13.87
casma,90,PE,1570148634,92,-9.47,-78.3,60.86,12.48
ca mau,83,VN,1570148634,88,9.18,105.15,78.88,1.92
petropavlovsk-kamchatskiy,40,RU,1570148384,63,53.05,158.65,50.0,8.95
novyy urengoy,100,RU,1570148635,87,66.08,76.63,41.13,16.35
kieta,98,PG,1570148636,73,-6.22,155.63,83.56,11.34
gorin,13,BF,1570148636,78,12.34,-0.67,76.74,18.37
toyooka,75,JP,1570148637,83,35.55,134.82,73.4,6.93
garissa,4,KE,1570148637,75,-0.46,39.64,76.06,13.62
eskisehir,0,TR,1570148638,61,39.78,30.52,53.6,3.36
longyearbyen,75,NO,1570148638,86,78.22,15.63,33.8,5.82
atar,13,MR,1570148638,12,20.52,-13.05,91.62,15.05
amarante do maranhao,43,BR,1570148639,68,-5.57,-46.74,77.24,3.91
oga,62,IT,1570148639,86,46.46,10.35,36.0,1.99
strezhevoy,90,RU,1570148640,100,60.73,77.6,46.4,8.95
walvis bay,0,NA,1570148640,100,-22.95,14.51,63.0,8.05
mujiayingzi,100,CN,1570148640,95,42.12,118.78,34.28,11.32
basco,1,US,1570148641,71,40.33,-91.2,57.99,8.05
laredo,1,US,1570148485,48,27.51,-99.51,88.0,14.99
tananger,90,NO,1570148642,93,58.94,5.59,46.99,2.24
bathsheba,40,BB,1570148642,83,13.22,-59.52,82.4,8.05
kempsey,0,AU,1570148643,47,-31.08,152.84,81.0,5.99
north bend,90,US,1570148643,81,43.41,-124.22,59.0,12.75
